replay_step,controller,controller_family,seed,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,action_id,action_name,orig_index,label_bucket,target_name,control_apply_ms,benign_ping_avg_rtt_ms,benign_ping_loss_pct,benign_tcp_throughput_mbps,attack_ping_avg_rtt_ms,attack_ping_loss_pct,attack_tcp_throughput_mbps,ids_mirror_rx_bytes_delta,replay_mode,topology
49,NoControl,NoControl,,0,0.8410383462905884,0.8399999737739563,0.84,0,Forward,14557,benign,shared_bottleneck,0.0015320000130714106,11.342,0.0,57.39002917536558,11.201,0.0,32.6840719723282,0,mixed,two_switch
50,NoControl,NoControl,,0,0.8410382866859436,0.8399999737739563,0.84,0,Forward,14558,benign,shared_bottleneck,0.0012280000021291926,11.143,0.0,60.452848872896965,11.147,0.0,29.169066965244284,0,mixed,two_switch
51,NoControl,NoControl,,1,0.9198984503746032,0.9200000166893004,0.92,0,Forward,14853,attack,shared_bottleneck,0.0012590000011414304,11.197,0.0,67.79776357685991,11.162,0.0,22.835459842556723,0,mixed,two_switch
52,NoControl,NoControl,,1,0.8886391520500183,0.8899999856948853,0.89,0,Forward,14870,attack,shared_bottleneck,0.0013180000024703986,11.311,0.0,33.48074460121546,11.483,0.0,57.3647600290831,0,mixed,two_switch
53,NoControl,NoControl,,1,0.8786901831626892,0.8799999952316284,0.88,0,Forward,14880,attack,shared_bottleneck,0.0012950000041200838,11.377,0.0,60.583261831073,11.329,0.0,29.653180498472906,0,mixed,two_switch
54,NoControl,NoControl,,0,0.7828757762908936,0.7799999713897705,0.78,0,Forward,15438,benign,shared_bottleneck,0.0015290000021650485,11.33,0.0,59.91188524235368,11.223,0.0,30.441622137632713,0,mixed,two_switch
55,NoControl,NoControl,,1,0.8823724389076233,0.8799999952316284,0.89,0,Forward,16062,attack,shared_bottleneck,0.001247000000148546,11.322,0.0,23.976409647560626,11.307,0.0,66.64902701720366,0,mixed,two_switch
56,NoControl,NoControl,,1,0.8523920178413391,0.8500000238418579,0.85,0,Forward,16156,attack,shared_bottleneck,0.001370000006772898,11.251,0.0,32.57672806805755,11.413,0.0,57.46708789819727,0,mixed,two_switch
57,NoControl,NoControl,,1,0.8999413847923279,0.8999999761581421,0.9,0,Forward,16958,attack,shared_bottleneck,0.0011070000027757487,11.382,0.0,67.80605139352838,11.295,0.0,22.657549851640002,0,mixed,two_switch
58,NoControl,NoControl,,0,0.8077142834663391,0.800000011920929,0.81,0,Forward,17203,benign,shared_bottleneck,0.0012589999869305757,11.285,0.0,57.733071002297834,11.14,0.0,31.576262771774076,0,mixed,two_switch
59,NoControl,NoControl,,0,0.8294690847396851,0.8299999833106995,0.83,0,Forward,17359,benign,shared_bottleneck,0.001134000001457025,11.198,0.0,29.168661261397528,11.246,0.0,60.48377062655179,0,mixed,two_switch
60,NoControl,NoControl,,0,0.8367106914520264,0.8299999833106995,0.83,0,Forward,17639,benign,shared_bottleneck,0.0012989999902401905,11.172,0.0,44.71050871306707,11.221,0.0,45.39482463632567,0,mixed,two_switch
61,NoControl,NoControl,,0,0.8378546833992004,0.8399999737739563,0.84,0,Forward,17792,benign,shared_bottleneck,0.0012110000113807473,11.263,0.0,45.44827617344005,11.234,0.0,44.76514676492797,0,mixed,two_switch
62,NoControl,NoControl,,1,0.8575001358985901,0.8600000143051147,0.86,0,Forward,17886,attack,shared_bottleneck,0.001687999997557199,11.282,0.0,30.37431937710279,11.311,0.0,59.92506208458743,0,mixed,two_switch
63,NoControl,NoControl,,0,0.7899861931800842,0.7900000214576721,0.78,0,Forward,18045,benign,shared_bottleneck,0.001241000006757531,11.191,0.0,59.92200080524012,11.212,0.0,30.36764426545508,0,mixed,two_switch
64,NoControl,NoControl,,0,0.8586136102676392,0.8500000238418579,0.84,0,Forward,18103,benign,shared_bottleneck,0.0014900000167017424,11.282,0.0,22.637279699210463,11.222,0.0,67.63541963958312,0,mixed,two_switch
65,NoControl,NoControl,,0,0.8233593702316284,0.8199999928474426,0.82,0,Forward,18713,benign,shared_bottleneck,0.0011820000054285629,11.417,0.0,57.66736889911537,11.286,0.0,32.7007299270073,70,mixed,two_switch
66,NoControl,NoControl,,0,0.8056234121322632,0.800000011920929,0.8,0,Forward,18882,benign,shared_bottleneck,0.0015050000001792796,11.414,0.0,66.00006294256491,11.39,0.0,24.05636579306032,0,mixed,two_switch
67,NoControl,NoControl,,0,0.8265945315361023,0.8299999833106995,0.82,0,Forward,19001,benign,shared_bottleneck,0.0013779999790131114,11.223,0.0,45.27212576837765,11.304,0.0,44.95408365243757,0,mixed,two_switch
68,NoControl,NoControl,,1,0.8694993853569031,0.8700000047683716,0.88,0,Forward,19305,attack,shared_bottleneck,0.0013689999889265891,11.104,0.0,60.45279761929996,11.119,0.0,29.157711521901028,0,mixed,two_switch
