replay_step,controller,controller_family,seed,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,action_id,action_name,orig_index,label_bucket,target_name,control_apply_ms,benign_ping_avg_rtt_ms,benign_ping_loss_pct,benign_tcp_throughput_mbps,attack_ping_avg_rtt_ms,attack_ping_loss_pct,attack_tcp_throughput_mbps,ids_mirror_rx_bytes_delta,replay_mode,topology
57,NoControl,NoControl,,1,0.8999413847923279,0.8999999761581421,0.9,0,Forward,16958,attack,attacker,0.0014839999948890181,6.755,0.0,90.41335305916844,6.476,0.0,90.7088357930068,0,targeted,single
58,NoControl,NoControl,,0,0.8077142834663391,0.800000011920929,0.81,0,Forward,17203,benign,client,0.0011449999988144555,6.645,0.0,90.7265154599364,6.67,0.0,90.6409075854137,0,targeted,single
59,NoControl,NoControl,,0,0.8294690847396851,0.8299999833106995,0.83,0,Forward,17359,benign,client,0.0011930000027859933,6.843,0.0,90.65781821789061,6.684,0.0,90.89149925089464,0,targeted,single
60,NoControl,NoControl,,0,0.8367106914520264,0.8299999833106995,0.83,0,Forward,17639,benign,client,0.0012460000107239466,6.785,0.0,90.7906000043748,6.408,0.0,90.80723542854955,0,targeted,single
61,NoControl,NoControl,,0,0.8378546833992004,0.8399999737739563,0.84,0,Forward,17792,benign,client,0.0016120000054797856,6.405,0.0,90.8091393732543,6.48,0.0,91.08189484521566,0,targeted,single
62,NoControl,NoControl,,1,0.8575001358985901,0.8600000143051147,0.86,0,Forward,17886,attack,attacker,0.0012240000160090858,6.399,0.0,90.93921027862906,6.548,0.0,90.82039911308203,0,targeted,single
63,NoControl,NoControl,,0,0.7899861931800842,0.7900000214576721,0.78,0,Forward,18045,benign,client,0.0017970000385503226,6.438,0.0,91.02405201858956,6.436,0.0,90.8403588940635,0,targeted,single
64,NoControl,NoControl,,0,0.8586136102676392,0.8500000238418579,0.84,0,Forward,18103,benign,client,0.0012250000054336851,6.961,0.0,90.6839802563902,6.574,0.0,90.68265941312593,0,targeted,single
65,NoControl,NoControl,,0,0.8233593702316284,0.8199999928474426,0.82,0,Forward,18713,benign,client,0.0016249999816864147,6.84,0.0,90.8772371563642,6.428,0.0,90.6661521182345,0,targeted,single
66,NoControl,NoControl,,0,0.8056234121322632,0.800000011920929,0.8,0,Forward,18882,benign,client,0.0021270000161166536,6.598,0.0,90.7604069765853,6.509,0.0,90.5601536022342,0,targeted,single
67,NoControl,NoControl,,0,0.8265945315361023,0.8299999833106995,0.82,0,Forward,19001,benign,client,0.0017630000002100132,6.679,0.0,90.75974543648896,6.504,0.0,90.72147522649695,0,targeted,single
68,NoControl,NoControl,,1,0.8694993853569031,0.8700000047683716,0.88,0,Forward,19305,attack,attacker,0.0015170000438047282,6.772,0.0,90.82362852425207,6.599,0.0,90.60323194729054,0,targeted,single
